concept_code,omop_id,omop_name
HP:0100018,373769,Nuclear cataract
HP:0100510,439787,Ascorbic acid deficiency
HP:0100723,4170421,Gastrointestinal stromal tumor
HP:0000961,438555,Cyanosis
HP:0030659,4300078,Velamentous insertion of umbilical cord
HP:0012108,435262,Primary open angle glaucoma
HP:0004751,437579,Paroxysmal ventricular tachycardia
HP:0030142,197377,Abnormal bowel sounds
HP:0032249,438071,Primary extrapulmonary coccidioidomycosis
HP:0032249,437217,Coccidioidomycosis
HP:0000823,440366,Delay in sexual development AND/OR puberty
HP:0000823,4266651,Delayed puberty
HP:0012056,139757,Malignant melanoma of skin of lower limb
HP:0012056,438983,Malignant melanoma of skin of upper limb
HP:0012056,141232,Malignant melanoma of skin
HP:0007269,372605,Spinal muscular atrophy
HP:0001763,437969,Talipes planus
HP:0000075,4147222,Accessory kidney
HP:0025044,257010,Abscess of lung
HP:0003774,443611,Chronic kidney disease stage 5
HP:0003774,193782,End-stage renal disease
HP:0000767,141955,Pectus excavatum
HP:0002329,4152347,Drowsy
HP:0046505,4204199,Hand pain
HP:0001903,439777,Anemia
HP:0004414,435646,Congenital anomaly of pulmonary artery
HP:0012115,194990,Inflammatory disease of liver
HP:0012115,199867,Chronic persistent hepatitis
HP:0000520,436700,Exophthalmos
HP:0005912,196796,Congenital biliary atresia
HP:0010280,138455,Stomatitis
HP:0006682,4089462,Ventricular premature complex
HP:0005001,4117553,Recurrent dislocation of the patellofemoral joint
HP:0012490,432719,Panniculitis
HP:0001022,4049014,Albinism
HP:0020046,381027,Accommodative esotropia
HP:0000316,4318653,Hypertelorism
HP:0000568,442056,Simple microphthalmos
HP:0000568,376512,Microphthalmos
HP:0001962,315078,Palpitations
HP:0000733,4207660,Stereotypy habit disorder
HP:0001251,435242,Cerebellar ataxia
HP:0041146,4053654,Fracture of coccyx
HP:0011570,313006,Congenital stenosis of mitral valve
HP:0002754,72410,Infection of bone
HP:0002754,134735,Chronic osteomyelitis
HP:0002754,141663,Osteomyelitis
HP:0030222,4119850,Visual agnosia
HP:0002870,442588,Obstructive sleep apnea syndrome
HP:0002827,4306084,Dislocation of hip joint
HP:0100687,378548,Polyotia
HP:0030788,374375,Impacted cerumen
HP:0003756,72618,Disorder of skeletal muscle
HP:0001298,372887,Disorder of brain
HP:0030155,4071874,Pain in scrotum
HP:0032064,443406,Eosinophilic gastroenteritis
HP:0002947,4184256,Cervical kyphosis
HP:0002907,78472,Microscopic hematuria
HP:0032537,40305987,Delayed union of fracture
HP:0000037,4009631,Male pseudohermaphroditism
HP:0000037,4219609,XY females
HP:0012625,443597,Chronic kidney disease stage 3
HP:0011301,4153492,Congenital absence of foot
HP:0001343,4173577,Kernicterus of newborn
HP:0003302,4167097,Spondylolisthesis
HP:0003470,440377,Paralysis
HP:0004952,441593,Arteriovenous fistula of pulmonary vessels
HP:0032171,4048710,Bladder pain
HP:0000667,4173943,Phthisis bulbi
HP:0032159,432602,Fungal meningitis
HP:0031273,201965,Shock
HP:0030943,436741,Vulvodynia
HP:0011099,134031,Hemiplegic cerebral palsy
HP:0011099,375528,Spastic hemiplegia
HP:0002381,440424,Aphasia
HP:0010867,437584,Ataxia
HP:0002352,4027461,Leukoencephalopathy
HP:0008940,4165998,Generalized enlarged lymph nodes
HP:0000818,31821,Disorder of endocrine system
HP:0005547,4304484,Chronic myeloproliferative disorder (clinical)
HP:0200043,140641,Verruca vulgaris
HP:0009725,200680,Neoplasm of bladder
HP:0032940,4049367,Psychologic conversion disorder
HP:0032940,444079,Psychogenic fugue
HP:0032940,434889,Dissociative disorder
HP:0033726,4285717,SLE glomerulonephritis syndrome
HP:0002133,4332304,Status epilepticus
HP:0004381,4147787,Supravalvar aortic stenosis
HP:0005561,4131124,Bone marrow disorder
HP:0002170,439847,Intracranial hemorrhage
HP:0006739,4111921,Squamous cell carcinoma of skin
HP:0010475,4048434,Exstrophy of cloaca sequence
HP:0032965,440748,Interstitial emphysema of lung
HP:0000268,4218298,Long narrow head
HP:0100724,4125650,Thrombophilia
HP:0100724,4295287,Hypercoagulability state
HP:0033120,4216188,Nummular eczema
HP:0007917,375249,Traction detachment of retina
HP:0032168,4307981,Clostridium difficile colitis
HP:0000618,4023310,Blindness AND/OR vision impairment level
HP:0011581,4251327,Double outlet left ventricle
HP:0001663,437894,Ventricular fibrillation
HP:0001071,4042934,Fabry's disease
HP:0001433,4279681,Hepatosplenomegaly
HP:0002292,4339092,Male pattern alopecia
HP:0012475,4121284,Specific antibody deficiency
HP:0025234,440087,Parasomnia
HP:0005526,132853,Lymphoid leukemia
HP:0005526,136656,Subacute lymphoid leukemia
HP:0010562,132982,Keloid scar
HP:0002343,432899,Normal pressure hydrocephalus
HP:0020161,437544,Arterial retinal branch occlusion
HP:0030878,314487,Pulmonary function studies abnormal
HP:0007686,437295,Abnormal pupillary function
HP:0000147,40443308,Polycystic ovary syndrome
HP:0000147,36683296,Polycystic ovary
HP:0002253,81611,Diverticular disease of colon
HP:0002510,4173811,Congenital quadriplegia
HP:0001360,4149584,Holoprosencephaly sequence
HP:0011276,316501,Vascular disease of the skin
HP:0011497,440098,Rubeosis iridis
HP:0002414,4283381,Spina bifida
HP:0031830,376124,Pinguecula
HP:0011069,40636815,Supernumerary teeth
HP:0000044,4144964,Hypogonadotropic hypogonadism
HP:0001281,380534,Tetany
HP:0002816,78241,Congenital genu recurvatum
HP:0041237,4177025,Fracture of patella
HP:0031459,4308811,Neoplasm of soft tissue
HP:0004469,255841,Chronic bronchitis
HP:0100822,40490888,Herniation of rectum into vagina
HP:0009831,4134455,Mononeuropathy
HP:0006528,4186898,Chronic lung disease
HP:0031003,4296728,Polyneuritis
HP:0002912,4173459,Methylmalonic acidemia
HP:0010480,201338,Urethral fistula
HP:0000010,4056621,Recurrent urinary tract infection
HP:0005508,4098597,Waldenstr̦m macroglobulinemia
HP:0010535,313459,Sleep apnea
HP:0002156,4012934,Homocystinuria
HP:0002034,4314399,Congenital anomaly of rectum
HP:0030837,4077895,Pain in finger
HP:0032434,37018896,Delayed separation of umbilical cord
HP:0012302,376026,Encephalitis due to Herpesviridae
HP:0033512,40483172,Stimulant dependence
HP:0006721,134305,Acute lymphoid leukemia
HP:0012035,4033450,Steatocystoma multiplex
HP:0004372,376961,Disturbance of consciousness
HP:0002860,4300118,Squamous cell carcinoma
HP:0000031,4150043,Epididymitis
HP:0025421,4057432,Mediastinal emphysema
HP:0010445,76798,Ostium primum defect
HP:0002373,444413,Febrile convulsion
HP:0001107,4096938,Ocular albinism
HP:0000051,4005592,"Hypospadias, perineal"
HP:0011024,4000610,Disorder of gastrointestinal tract
HP:0011024,4201745,Disorder of digestive system
HP:0001369,4291025,Arthritis
HP:0100242,4311439,Sarcoma
HP:0000969,433595,Edema
HP:0000722,4053320,Compulsive behavior
HP:0000722,440374,Obsessive-compulsive disorder
HP:0003834,4213373,Dislocation of shoulder joint
HP:0001894,4280071,Thrombocytosis
HP:0000828,138713,Disorder of parathyroid gland
HP:0007642,374353,Congenital stationary night blindness
HP:0002582,192667,Atrophic gastritis
HP:0002583,4272488,Colitis
HP:0011971,132983,Dermatographic urticaria
HP:0030207,434769,Flail chest
HP:0001386,4154927,Joint swelling
HP:0005521,436093,Disseminated intravascular coagulation
HP:0000656,376132,Ectropion
HP:0010310,4306136,Chylothorax
HP:0025406,437113,Asthenia
HP:0012027,22350,Edema of larynx
HP:0002018,31967,Nausea
HP:0002257,259848,Chronic rhinitis
HP:0034285,4041669,Enteroviral encephalitis
HP:0025317,77360,Acquired cubitus varus
HP:0010882,320206,Congenital atresia of pulmonary valve
HP:0010882,36714644,Atresia of pulmonary valve
HP:0000670,133228,Dental caries
HP:0000613,4260194,Photophobia
HP:0001708,4273632,Right ventricular failure
HP:0004330,37311944,Hyperostosis of skull
HP:0004377,4147164,Malignant tumor of lymphoid hemopoietic and related tissue
HP:0001718,315273,Mitral valve stenosis
HP:0002356,375536,Organic writer's cramp
HP:0032326,440940,Methicillin resistant Staphylococcus aureus infection
HP:0010783,318566,Flushing
HP:0010783,137193,Erythema
HP:0010783,40481101,Erythema of skin
HP:0012313,78227,Degenerative joint disease of hand
HP:0012313,4155797,Heberden node
HP:0001790,76533,Non-immune hydrops fetalis
HP:0011499,4290615,Dilated pupil
HP:0001350,4125590,Slurred speech
HP:0000107,36716270,Cyst of kidney
HP:0032147,134380,Erythromelalgia
HP:0012288,4114222,Malignant tumor of head and neck
HP:0000802,3655355,Erectile dysfunction
HP:0010542,377568,Nystagmus associated with disorder of the vestibular system
HP:0005359,27526,Nezelof's syndrome
HP:0010954,4145158,Right hypoplastic heart syndrome
HP:0100763,4140510,Disorder of lymphatic vessel
HP:0011783,4337834,Hyperthyroidism due to ectopic thyroid nodule
HP:0001680,321119,Coarctation of aorta
HP:0000836,4142479,Hyperthyroidism
HP:0030882,316427,Aneurysm of coronary vessels
HP:0041233,4296627,Fracture of ilium
HP:0100808,201619,Gastric diverticulum
HP:0002937,79930,Congenital hemivertebra
HP:0001081,4145627,Biliary calculus
HP:0001388,141667,Laxity of ligament
HP:0001388,4285734,Instability of joint
HP:0001788,194702,Premature rupture of membranes
HP:0011484,440713,Posterior synechiae
HP:0001942,4245042,Metabolic acidosis
HP:0000689,260759,Malocclusion of teeth
HP:0020076,4003132,Ganglion of wrist
HP:0500056,443520,Retinopathy of prematurity stage 5 - total retinal detachment
HP:0100515,4012368,Increased frequency of urination
HP:0100515,200843,Finding of frequency of urination
HP:0003298,381677,Spina bifida occulta
HP:0002967,76509,Acquired cubitus valgus
HP:0012876,434319,Premature ejaculation
HP:0009800,4024659,Gestational diabetes mellitus
HP:0025232,134453,Bursitis
HP:0004383,440207,Hypoplastic left heart syndrome
HP:0004397,4197547,Ectopic anus
HP:0002242,201618,Disorder of intestine
HP:0100565,378533,Hydromyelia
HP:0000062,4062097,Ambiguous genitalia
HP:0000062,4212927,Disorder of sexual differentiation
HP:0012219,140176,Erythema nodosum
HP:0012196,315531,Respiration intermittent
HP:0012196,313324,Cheyne-Stokes respiration
HP:0100813,435315,Torsion of testis
HP:0000453,256810,Choanal atresia
HP:0001144,440418,Orbital cyst
HP:0041087,4085898,Wedge fracture of lumbar vertebra
HP:0030423,4193638,Splenic cyst
HP:0011419,198488,Placental abruption
HP:0011419,440457,Threatened miscarriage
HP:0041055,442619,Fracture of humerus
HP:0004321,201345,Bladder fistula
HP:0003493,4013265,Anti-nuclear factor positive
HP:0001658,4329847,Myocardial infarction
HP:0005110,313217,Atrial fibrillation
HP:0000125,4210317,Pelvic kidney
HP:0012399,135333,Pressure ulcer
HP:0010702,4132570,Hypergammaglobulinemia
HP:0025452,133283,Pyoderma gangrenosum
HP:0100592,200757,Abscess of peritoneum
HP:0000193,4077901,Cleft uvula
HP:0041247,4134336,Fracture of tarsal bone
HP:0100835,4239871,Benign neoplasm of central nervous system
HP:0011530,4120318,Retinal round hole
HP:0100607,194696,Dysmenorrhea
HP:0033689,4229448,Anterograde amnesia
HP:0001602,24974,Stenosis of larynx
HP:0001337,443782,Tremor
HP:0002342,436682,Moderate intellectual disability
HP:0000016,192450,Retention of urine
HP:0011097,376105,West syndrome
HP:0000960,4206889,Sacral dimple
HP:0032579,197087,Vascular hamartomas
HP:0100754,4333677,Mania
HP:0200018,379819,Protan defect
HP:0100767,4143187,Anomaly of placenta
HP:0010608,377560,Internal hordeolum
HP:0012228,376382,Tension-type headache
HP:0002176,4322945,Spinal cord compression
HP:0006527,4195014,Lymphoid interstitial pneumonia
HP:0041073,4053828,Fracture of thoracic spine
HP:0010780,378163,Hyperacusis
HP:0000750,4047123,Speech delay
HP:0000750,443361,Developmental language disorder
HP:0000750,435642,Disturbance in speech
HP:0004232,74160,Accessory carpal bones
HP:0033584,4044215,Nonspecific interstitial pneumonia
HP:0025238,4169905,Foot pain
HP:0031292,4137468,Abscess of skin and/or subcutaneous tissue
HP:0100252,45757678,Progressive diaphyseal dysplasia
HP:0010474,193520,Urinary bladder stone
HP:0033415,318450,Cardiac tamponade
HP:0001719,313867,Double outlet right ventricle
HP:0030997,4215697,Congenital atresia of vas deferens
HP:0002408,4121803,Cerebral arteriovenous malformation
HP:0004818,4024671,Paroxysmal nocturnal hemoglobinuria
HP:0001623,74698,Breech presentation
HP:0000113,4220238,Multiple congenital cysts of kidney
HP:0008326,435787,Vitamin B6 deficiency
HP:0004937,433783,Pulmonary artery aneurysm
HP:0033125,4147411,Follicular non-Hodgkin's lymphoma
HP:0005387,40483560,Combined immunodeficiency disease
HP:0025567,372894,Central serous chorioretinopathy
HP:0001159,4162283,Syndactyly
HP:0004602,433585,Klippel-Feil sequence
HP:0001019,4270887,Erythroderma
HP:0025722,443454,Cerebral infarction
HP:0001765,433577,Hammer toe
HP:0025470,140173,Telogen effluvium
HP:0033519,4141524,Methamphetamine dependence
HP:0025019,321886,Rupture of artery
HP:0040262,381592,Chronic mucoid otitis media
HP:0033834,4272240,Malaise
HP:0001601,4113306,Congenital laryngomalacia
HP:0025630,4164940,Argininosuccinate lyase deficiency
HP:0000870,4030186,Hyperprolactinemia
HP:0001095,376965,Hypertensive retinopathy
HP:0001131,374043,Hereditary corneal dystrophy
HP:0002098,4158346,Respiratory distress
HP:0033398,4050884,Pleural plaque
HP:0001662,4169095,Bradycardia
HP:0012318,4216083,Cervico-occipital neuralgia
HP:0000934,437629,Chondrocalcinosis due to dicalcium phosphate crystals
HP:0000934,439901,Chondrocalcinosis due to pyrophosphate crystals
HP:0000934,437064,Chondrocalcinosis
HP:0010886,437359,Osteochondritis dissecans
HP:0002310,376969,Orofacial dyskinesia
HP:0000347,4140216,Congenital micrognathism
HP:0000479,378416,Retinal disorder
HP:0002315,378253,Headache
HP:0011704,4261842,Sick sinus syndrome
HP:0000642,372633,Deutan defect
HP:0100001,4033891,"Mesothelioma (malignant, clinical disorder)"
HP:0000491,374035,Keratitis
HP:0003042,4053588,Traumatic dislocation of elbow joint
HP:0003042,4221189,Dislocation of elbow joint
HP:0000217,4226991,Xerostomia
HP:0000027,4143116,Azoospermia
HP:0000027,76744,Azoospermia
HP:0002354,439147,Amnesia
HP:0002354,444259,Psychogenic amnesia
HP:0041081,4185758,Fracture of lower leg
HP:0041081,4187096,Fracture of lower limb
HP:0011706,318448,Second degree atrioventricular block
HP:0010981,435516,Lipoprotein deficiency disorder
HP:0005942,4311555,Desquamative interstitial pneumonia
HP:0030765,4232324,Sleep terror disorder
HP:0011818,4099828,Nasofrontal encephalocele
HP:0030642,35622759,Fundus albipunctatus
HP:0020165,312622,Venous retinal branch occlusion
HP:0000028,437655,Undescended testicle
HP:0003256,4179872,Disorder of hemostatic system
HP:0003256,432585,Blood coagulation disorder
HP:0000678,438792,Crowding of teeth
HP:0100540,374950,Edema of eyelid
HP:0012424,434033,Chorioretinitis
HP:0012871,4196960,Varicocele
HP:0001276,4208994,Increased muscle tone
HP:0005214,193518,Intestinal obstruction
HP:0001196,438226,Short cord
HP:0001518,74469,Light-for-dates without fetal malnutrition
HP:0001518,4145947,Small for gestational age fetus
HP:0001518,4171115,Low birth weight infant
HP:0011109,257012,Chronic sinusitis
HP:0002308,4099094,Chiari malformation
HP:0006733,313159,Megakaryocytic leukemia
HP:0006733,4079686,Acute megakaryoblastic leukemia
HP:0011675,4262562,Abnormal heart beat
HP:0011675,44784217,Cardiac arrhythmia
HP:0008037,4229403,Flat anterior chamber of eye
HP:0000255,260123,Acute sinusitis
HP:0100534,4218083,Episcleritis
HP:0002804,4009040,Arthrogryposis
HP:0004459,381574,Exostosis of external ear canal
HP:0004394,4303233,Gastric polyp
HP:0004942,195559,Ruptured abdominal aortic aneurysm
HP:0004942,441875,Thoracic aortic aneurysm which has ruptured
HP:0004942,433222,"Thoracoabdominal aortic aneurysm, ruptured"
HP:0004942,4132130,Dilatation of aorta
HP:0004942,317585,Aortic aneurysm
HP:0004942,312343,Ruptured aortic aneurysm
HP:0000303,444124,"Malocclusion, Angle class III"
HP:0000951,132446,Congenital anomaly of skin
HP:0000951,4317258,Disorder of skin
HP:0010470,4068890,Polyorchism
HP:0011445,375525,Athetoid cerebral palsy
HP:0000171,443936,Microglossia
HP:0000171,432941,Disorder of tongue
HP:0020103,4137770,Invasive pulmonary aspergillosis
HP:0005180,4006971,Tricuspid valve regurgitation
HP:0040261,438788,Hypertrophy of adenoids
HP:0001734,4222723,Annular pancreas
HP:0001097,4120320,Keratoconjunctivitis sicca
HP:0001097,378427,Tear film insufficiency
HP:0005321,4304838,Treacher Collins syndrome
HP:0007011,378439,Fourth nerve palsy
HP:0008619,4110815,"Sensorineural hearing loss, bilateral"
HP:0001357,4071059,Plagiocephaly
HP:0032161,435182,Coccidioidal meningitis
HP:0001919,197320,Acute renal failure syndrome
HP:0000388,372328,Otitis media
HP:0200136,440530,Oropharyngeal dysphagia
HP:0032325,4046360,Lacunar infarction
HP:0100012,4181477,Malignant neoplasm of eye
HP:0001305,4031189,Dandy-Walker syndrome
HP:0000556,380395,Retinal dystrophy
HP:0000556,377270,Hereditary retinal dystrophy
HP:0000756,4321835,Agoraphobia
HP:0031189,440193,Wristdrop
HP:0032258,4087778,Pulmonary histoplasmosis
HP:0033400,4241033,Acute abdomen
HP:0002527,4059015,Falls
HP:0025615,444202,Abscess
HP:0012085,4167328,Pyuria
HP:0003113,4016089,Hypochloremia
HP:0001012,4292547,Lipomatosis
HP:0006767,4305452,Prolactinoma
HP:0002828,439666,Contracture of multiple joints
HP:0002134,378144,Disorder of basal ganglia
HP:0009380,4323582,Absent finger
HP:0002878,314971,Chronic respiratory failure
HP:0002878,4256228,Respiratory failure
HP:0001829,79914,Polydactyly of toes
HP:0008141,4138150,Dislocation of toe joint
HP:0000070,192440,Ureterocele
HP:0100654,379818,Retrobulbar neuritis
HP:0010717,4135715,Syndactyly of toes
HP:0010717,435364,Syndactyly of toes with fusion of bones
HP:0011712,314059,Right bundle branch block
HP:0003457,441415,Electromyogram abnormal
HP:0010550,192606,Paraplegia
HP:0005162,439846,Left heart failure
HP:0011106,37311319,Hypovolemia
HP:0000089,4139587,Congenital hypoplasia of kidney
HP:0030127,433527,Endometriosis (clinical)
HP:0012311,434910,Monocytosis
HP:0007313,4168666,Cerebral degeneration
HP:0007313,375239,Degenerative brain disorder
HP:0002150,4215809,Hypercalciuria
HP:0011107,138463,Aphthous ulcer of mouth
HP:0011107,4146449,Aphthous ulceration of skin and/or mucous membrane
HP:0011107,36716659,Recurrent aphthous stomatitis
HP:0010774,441108,Cor triatriatum
HP:0003198,137275,Disorder of muscle
HP:0100790,4162218,Vaginal enterocele
HP:0100790,199860,Hernia of abdominal cavity
HP:0025655,4037762,Placenta increta
HP:0011590,4014895,Double aortic arch
HP:0010313,78474,Hypertrophy of breast
HP:0010313,4163600,Large breast
HP:0000512,4168089,Electroretinogram abnormal
HP:0005301,4301483,Persistent left superior vena cava
HP:0012185,380094,Carpal tunnel syndrome
HP:0010298,439060,Atrophy of tongue papillae
HP:0500051,375251,Retinopathy of prematurity stage 2 - intraretinal ridge
HP:0030836,4115367,Wrist joint pain
HP:0000563,374362,Keratoconus
HP:0000573,374025,Retinal hemorrhage
HP:0041244,4319889,Fracture of scapula
HP:0100796,4171915,Orchitis
HP:0010889,4223997,Juvenile osteochondrosis of carpal lunate
HP:0000110,201111,Renal dysplasia
HP:0011854,194690,Nontraumatic hemoperitoneum
HP:0041156,4320022,Fracture of orbit
HP:0002671,4112752,Basal cell carcinoma of skin
HP:0000565,377877,Esotropia
HP:0008711,198803,Benign prostatic hyperplasia
HP:0008711,197032,Hyperplasia of prostate
HP:0009892,381384,Congenital absence of external ear
HP:0012089,314659,Arteritis
HP:0012730,440521,Tongue absent
HP:0030016,442324,Psychologic dyspareunia
HP:0030016,439080,Dyspareunia
HP:0002647,320739,Dissection of aorta
HP:0003468,4308096,Congenital deformity of spine
HP:0003468,81670,Congenital anomaly of spine
HP:0000099,4263367,Glomerulonephritis
HP:0100537,133569,Fasciitis
HP:0011874,433749,Heparin-induced thrombocytopenia
HP:0010523,440084,Alexia
HP:0006699,4115173,Atrial premature complex
HP:0006699,441872,Supraventricular premature beats
HP:0001735,199074,Acute pancreatitis
